Survived,Sex,Status,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,female,Not Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
1,male,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
1,female,Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
0,male,Not Survived,,,,
0,female,Not Survived,,,,
0,male,Not Survived,,,,
1,female,Survived,,,,
0,female,Not Survived,,,,
1,male,Survived,,,,
0,male,Not Survived,,,,
